RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;VVD;CDA;Democraten 66 (D66);PVV (Partij voor de Vrijheid);SP (Socialistische Partij);Partij van de Arbeid (P.v.d.A.);GROENLINKS;ChristenUnie;Partij voor de Dieren;50PLUS;Staatkundig Gereformeerde Partij (SGP);ChristenUnie-SGP;FNP;Ouderenpartij Noord-Holland;Groninger Belang;Lokaal Brabant;Hart voor Holland;Piratenpartij;Volkspartij Limburg;LOKAAL-LIMBURG;LOKAAL OVERIJSSEL;STERK LOKAAL;Nederland Lokaal;Lokaal Belang Gelderland / 1 Achterhoek;Lokale Partijen Gelderland;Verenigde Lokale Partijen Zuid-Holland;Zeeland Lokaal;PARTIJ VOOR ZEELAND (PVZ);Libertarische Partij (LP);Vrouwen Partij (VP);Partij voor het Noorden;Multicultureel Plus Partij (M+);Provincie@Inwonersbelangen;Senioren Belang Noord;JEZUS LEEFT;Partij voor Mens en Spirit (MenS);Seniorenpartij Groningen;Provinciaal Belang Zeeland;PSP'92 Gelderland;Groningen Centraal!;Vrijzinnige Partij;Grunnegers veur Stad en Ommelaand;Vrede en Recht;Verenigde Communistische Partij;Partij voor Leefbaarheid en Democratie;Friese Koers;Ouderen Politiek Actief (OPA);PLATFORM VRIJE POLITIEK;StemNL;Gelderse Centrumdemocraten (Gelderse C.D.);Red het Noorden;Verenigd Links-Feriene Lofts;Vrij Mandaat
Oude IJsselstreek;G1509;10260;Arnhem;K7;30910;14438;29;51;14358;2253;3113;1604;1492;2331;1382;372;252;338;483;49;;;;;;;;;;;;;452;83;;;;12;;;;;;;68;;;41;;10;;14;;;;;;;9;;;
Ouder-Amstel;G0437;10998;Haarlem;K10;9874;5675;15;11;5649;1267;738;977;484;387;625;407;;219;198;;164;;61;;;42;47;;;;;;;;;;;;26;;7;;;;;;;;;;;;;;;;;;;;;
Oudewater;G0589;10188;Utrecht;K8;7617;3917;11;15;3891;780;1025;374;413;206;227;107;278;85;138;207;;;;;;;;;;;;;;;;;;6;;;;31;;12;;;;;;2;;;;;;;;;;;;
Overbetuwe;G1734;11188;Arnhem;K7;35416;17000;40;37;16923;2949;3102;2519;1643;1763;1392;839;707;484;545;532;;;;;;;;;;;;;196;105;;;;16;;;;;;;40;;;44;;14;;22;;;;;;;11;;;
Papendrecht;G0590;10427;Dordrecht;K14;24770;11781;31;31;11719;1980;1539;1062;1684;1041;922;299;1204;416;465;766;;;;;;;;;;;;189;;;32;;;25;;;;;;61;;;;;;34;;;;;;;;;;;;
Peel en Maas;G1894;10205;Venlo;K191;33913;14912;46;88;14778;2406;4738;1160;2430;1549;822;343;;281;575;;;;;;;;;215;206;;;;;;;;;;;;;;;;;;;;;;;;;53;;;;;;;;
Pekela;G0765;10848;Groningen;K1;9837;4723;17;25;4681;275;405;123;851;1213;492;129;219;111;114;;;;;438;;;;;;;;;;;;;;;;83;;;;;4;30;;;19;;24;;66;;;;;;;82;;3
Pijnacker-Nootdorp;G1926;10031;Leiden;K15;36537;18952;52;60;18840;4352;3025;2740;2456;1257;1621;831;686;814;574;263;;;;;;;;;;;;65;;;93;;;42;;;;;;;;;;;;21;;;;;;;;;;;;
Purmerend;G0439;11066;Den Helder;K11;61973;26348;117;88;26143;4258;2064;3019;4888;3214;2933;1118;;1284;1354;;447;;834;;;251;248;;;;;;;;;;;;181;;50;;;;;;;;;;;;;;;;;;;;;
Putten;G0273;11109;Arnhem;K7;18419;10544;20;22;10502;1610;2337;511;991;428;359;154;1887;187;207;1693;;;;;;;;;;;;;21;35;;;;16;;;;;;;19;;;17;;8;;17;;;;;;;5;;;
