RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;VVD;CDA;Democraten 66 (D66);PVV (Partij voor de Vrijheid);SP (Socialistische Partij);Partij van de Arbeid (P.v.d.A.);GROENLINKS;ChristenUnie;Partij voor de Dieren;50PLUS;Staatkundig Gereformeerde Partij (SGP);ChristenUnie-SGP;FNP;Ouderenpartij Noord-Holland;Groninger Belang;Lokaal Brabant;Hart voor Holland;Piratenpartij;Volkspartij Limburg;LOKAAL-LIMBURG;LOKAAL OVERIJSSEL;STERK LOKAAL;Nederland Lokaal;Lokaal Belang Gelderland / 1 Achterhoek;Lokale Partijen Gelderland;Verenigde Lokale Partijen Zuid-Holland;Zeeland Lokaal;PARTIJ VOOR ZEELAND (PVZ);Libertarische Partij (LP);Vrouwen Partij (VP);Partij voor het Noorden;Multicultureel Plus Partij (M+);Provincie@Inwonersbelangen;Senioren Belang Noord;JEZUS LEEFT;Partij voor Mens en Spirit (MenS);Seniorenpartij Groningen;Provinciaal Belang Zeeland;PSP'92 Gelderland;Groningen Centraal!;Vrijzinnige Partij;Grunnegers veur Stad en Ommelaand;Vrede en Recht;Verenigde Communistische Partij;Partij voor Leefbaarheid en Democratie;Friese Koers;Ouderen Politiek Actief (OPA);PLATFORM VRIJE POLITIEK;StemNL;Gelderse Centrumdemocraten (Gelderse C.D.);Red het Noorden;Verenigd Links-Feriene Lofts;Vrij Mandaat
Groesbeek;G0241;10616;Nijmegen;K6;27474;13569;34;49;13486;1911;2263;1647;1600;2209;1302;1034;95;573;469;28;;;;;;;;;;;;;48;79;;;;16;;;;;;;54;;;109;;27;;22;;;;;;;;;;
Groningen;G0014;10426;Groningen;K1;157808;82026;209;399;81418;7513;6253;13184;4422;13401;10867;9224;4985;4246;1133;;;;;2223;;;;;;;;;;;;;;;;1473;;;;;448;677;;;651;;302;;188;;;;;;;101;;127
Grootegast;G0015;11080;Groningen;K1;9203;4763;16;13;4734;387;1186;213;360;406;322;111;792;102;83;;;;;644;;;;;;;;;;;;;;;;66;;;;;11;23;;;8;;9;;5;;;;;;;4;;2
Gulpen-Wittem;G1729;11032;Maastricht;K19;11926;6050;19;27;6004;505;1815;467;1056;804;325;453;;181;214;;;;;;;;;36;137;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;
Haaksbergen;G0158;11435;Zwolle;K4;18955;9160;22;19;9119;1400;2682;1034;926;917;894;235;100;161;309;24;;;;;;;;;;437;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Haaren;G0788;11155;'s-Hertogenbosch;K18;10709;4927;6;16;4905;1035;1249;547;461;595;311;202;;139;198;;45;;;;108;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;4;1;;;;
Haarlem;G0392;10357;Haarlem;K10;116366;56514;177;219;56118;8129;4032;10214;4886;6406;7861;5410;;3591;1585;;1330;;1021;;;410;616;;;;;;;;;;;;383;;244;;;;;;;;;;;;;;;;;;;;;
Haarlemmerliede en Spaarnwoude;G0393;10508;Haarlem;K10;4304;2191;4;6;2181;499;326;304;284;149;190;118;;90;80;;42;;37;;;27;19;;;;;;;;;;;;13;;3;;;;;;;;;;;;;;;;;;;;;
Haarlemmermeer;G0394;11387;Haarlem;K10;105522;48340;135;113;48092;11736;5741;6260;6911;3420;3969;1892;;1717;1862;;2228;;1043;;;476;420;;;;;;;;;;;;319;;98;;;;;;;;;;;;;;;;;;;;;
Halderberge;G1655;10397;Tilburg;K17;23213;9508;21;38;9449;1830;1567;843;1538;1416;625;210;;282;777;;94;;;;221;;;;;;;;;;;;;10;;;;;;23;;;;;;;;;;;;;7;6;;;;
Hardenberg;G0160;10174;Zwolle;K4;45361;23175;51;38;23086;2377;6421;1459;2306;1733;1776;501;4337;308;720;531;;;;;;;;;;617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Harderwijk;G0243;10786;Arnhem;K7;34241;16653;40;43;16570;2825;2851;1728;1556;1136;1484;570;2556;477;447;634;;;;;;;;;;;;;53;83;;;;27;;;;;;;42;;;46;;9;;31;;;;;;;15;;;
Hardinxveld-Giessendam;G0523;10167;Dordrecht;K14;13358;7628;14;7;7607;814;995;248;768;366;423;76;1562;104;146;2058;;;;;;;;;;;;9;;;7;;;1;;;;;;27;;;;;;3;;;;;;;;;;;;
Haren;G0017;11058;Groningen;K1;14665;10013;26;23;9964;1784;1152;1613;438;892;1184;859;722;413;150;;;;;302;;;;;;;;;;;;;;;;247;;;;;38;79;;;46;;28;;8;;;;;;;6;;3
Harlingen;G0072;10909;Leeuwarden;K2;12238;6181;18;25;6138;824;966;422;652;925;958;248;308;209;308;;;250;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;42;;;;;;15;
Hattem;G0244;10673;Arnhem;K7;9121;5082;7;10;5065;722;948;541;298;351;510;187;1107;88;103;133;;;;;;;;;;;;;11;18;;;;8;;;;;;;13;;;13;;2;;7;;;;;;;5;;;
Heemskerk;G0396;10679;Haarlem;K10;30334;14038;48;44;13946;2177;2006;1743;1902;1635;1472;623;;471;638;;334;;316;;;355;108;;;;;;;;;;;;94;;72;;;;;;;;;;;;;;;;;;;;;
Heemstede;G0397;11288;Haarlem;K10;20125;12343;38;22;12283;3807;1394;2381;702;652;1015;786;;509;345;;230;;160;;;183;80;;;;;;;;;;;;36;;3;;;;;;;;;;;;;;;;;;;;;
Heerde;G0246;10291;Arnhem;K7;14595;7614;12;16;7586;1029;1496;582;723;594;627;198;1528;179;214;316;;;;;;;;;;;;;19;20;;;;13;;;;;;;11;;;12;;4;;17;;;;;;;4;;;
Heerenveen;G0074;10680;Leeuwarden;K2;38894;20454;51;61;20342;2711;2915;1897;1562;2349;4104;862;973;583;457;;;1811;;;;;;;;;;;;;;;;24;;;;;;;;;;;;;;;;;73;;;;;;21;
Heerhugowaard;G0398;10752;Den Helder;K11;39657;18039;49;55;17935;3455;2142;2172;2426;2305;1655;633;;607;699;;506;;752;;;238;157;;;;;;;;;;;;129;;59;;;;;;;;;;;;;;;;;;;;;
Heerlen;G0917;10902;Maastricht;K19;69867;28494;89;99;28306;2272;3960;2278;6076;7196;2208;919;;1037;1323;;;;;;;;;424;561;;;;;;;;;;;;;;;;;;;;;;;;;52;;;;;;;;
Heeze-Leende;G1658;10462;'s-Hertogenbosch;K18;12239;6225;9;21;6195;1352;1413;767;614;805;466;203;;175;223;;39;;;;114;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;4;7;;;;
Heiloo;G0399;10793;Den Helder;K11;17734;10289;22;24;10243;2381;1296;1704;835;703;1231;596;;474;382;;194;;168;;;131;101;;;;;;;;;;;;46;;1;;;;;;;;;;;;;;;;;;;;;
Hellendoorn;G0163;10806;Zwolle;K4;27735;14222;25;25;14172;1465;5537;1191;1221;1331;1144;436;905;241;364;163;;;;;;;;;;174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hellevoetsluis;G0530;11078;Dordrecht;K14;30394;12600;52;33;12515;2501;1154;1125;2638;1462;1319;379;291;551;783;73;;;;;;;;;;;;95;;;71;;;28;;;;;;38;;;;;;7;;;;;;;;;;;;
Helmond;G0794;10932;'s-Hertogenbosch;K18;65109;25607;71;73;25463;3978;3173;2454;4724;5157;2108;1009;;726;1198;;367;;;;274;;;;;;;;;;;;;60;;;;;;;;;;;;;;;;;;;70;165;;;;
Hendrik-Ido-Ambacht;G0531;10416;Dordrecht;K14;21670;10882;26;31;10825;1690;1313;873;1452;702;795;206;811;310;387;2178;;;;;;;;;;;;32;;;30;;;13;;;;;;25;;;;;;8;;;;;;;;;;;;
Hengelo;G0164;10907;Zwolle;K4;62145;29649;109;85;29455;3568;5477;3714;3099;5683;3414;1405;885;890;788;152;;;;;;;;;;380;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Het Bildt;G0063;10128;Leeuwarden;K2;7893;4104;8;4;4092;429;1049;192;376;457;649;90;187;108;85;;;442;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;21;;;;;;3;
Heumen;G0252;10600;Nijmegen;K6;12679;6954;14;16;6924;1203;1280;1160;529;869;719;501;73;263;182;8;;;;;;;;;;;;;24;46;;;;13;;;;;;;24;;;13;;10;;7;;;;;;;;;;
Heusden;G0797;10307;'s-Hertogenbosch;K18;33248;14424;36;40;14348;3003;2628;1743;1910;2060;912;449;;440;611;;245;;;;310;;;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;7;6;;;;
Hillegom;G0534;11236;Leiden;K15;15979;8170;26;18;8126;1751;1240;1005;1035;737;668;380;115;337;634;77;;;;;;;;;;;;21;;;104;;;8;;;;;;;;;;;;14;;;;;;;;;;;;
Hilvarenbeek;G0798;11297;Tilburg;K17;11838;5817;15;12;5790;1092;1459;666;488;822;439;234;;186;220;;28;;;;119;;;;;;;;;;;;;4;;;;;;5;;;;;;;;;;;;;28;0;;;;
Hilversum;G0402;11285;Haarlem;K10;64587;32654;120;104;32430;6168;2849;5471;3103;3478;3230;1945;;1331;806;;1315;;308;;;1954;278;;;;;;;;;;;;147;;47;;;;;;;;;;;;;;;;;;;;;
Hof van Twente;G1735;10076;Zwolle;K4;27370;15508;45;37;15426;3056;4867;1506;1276;1421;1711;513;243;233;375;88;;;;;;;;;;137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hollands Kroon;G1911;10344;Den Helder;K11;37562;17500;53;43;17404;3802;2485;1485;2295;1417;1466;446;;453;481;;514;;1765;;;546;147;;;;;;;;;;;;93;;9;;;;;;;;;;;;;;;;;;;;;
Hoogeveen;G0118;10839;Assen;K3;42432;20033;39;51;19943;2175;4546;1314;2475;2616;2118;615;2033;;613;502;;;;;;;;;;;704;;;;;;;;;;;;232;;;;;;;;;;;;;;;;;;;
Hoogezand-Sappemeer;G0018;10410;Groningen;K1;26900;12571;41;31;12499;1156;913;819;1349;2424;1729;491;717;349;398;;;;;1305;;;;;;;;;;;;;;;;246;;;;;31;169;;;204;;119;;40;;;;;;;29;;11
Hoorn;G0405;11392;Den Helder;K11;54127;23971;76;114;23781;4008;2250;3389;2970;3045;2798;1338;;924;1043;;531;;731;;;330;217;;;;;;;;;;;;174;;33;;;;;;;;;;;;;;;;;;;;;
Horst aan de Maas;G1507;11108;Venlo;K191;31969;15193;24;67;15102;1803;5152;1353;1758;2549;882;426;;301;601;;;;;;;;;129;101;;;;;;;;;;;;;;;;;;;;;;;;;47;;;;;;;;
Houten;G0321;10230;Utrecht;K8;35780;19665;38;60;19567;3514;2330;3236;1703;1604;1896;1329;1540;709;622;890;;;;;;;;;;;;;;;;;;12;;;;136;;29;;;;;;17;;;;;;;;;;;;
Huizen;G0406;11170;Haarlem;K10;31941;16999;28;40;16931;3700;2490;2176;1863;1146;1188;714;;576;547;;1819;;237;;;283;87;;;;;;;;;;;;78;;27;;;;;;;;;;;;;;;;;;;;;
Hulst;G0677;11408;Middelburg;K16;20039;9461;22;36;9403;1364;1627;519;1145;1343;782;227;77;;465;31;;;;;;;;;;;;;;;;1474;146;;;;;;;;;;203;;;;;;;;;;;;;;;
IJsselstein;G0353;10152;Utrecht;K8;25361;11784;32;33;11719;2471;1591;1854;1413;1321;989;476;433;382;454;193;;;;;;;;;;;;;;;;;;3;;;;90;;25;;;;;;24;;;;;;;;;;;;
Kaag en Braassem;G1884;10349;Leiden;K15;19949;10124;28;37;10059;2578;1951;1320;1266;632;768;304;182;322;425;60;;;;;;;;;;;;18;;;207;;;10;;;;;;;;;;;;16;;;;;;;;;;;;
Kampen;G0166;10253;Zwolle;K4;38106;21450;36;46;21368;1631;3921;1201;1813;2173;1445;1294;3633;295;493;3217;;;;;;;;;;252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kapelle;G0678;11223;Middelburg;K16;9454;5805;15;7;5783;976;921;392;432;448;463;133;507;;146;964;;;;;;;;;;;;;;;;118;213;;;;;;;;;;70;;;;;;;;;;;;;;;
Katwijk;G0537;10707;Leiden;K15;47299;22733;69;72;22592;2631;4744;1209;3113;1113;1144;426;2894;534;810;3485;;;;;;;;;;;;58;;;389;;;25;;;;;;;;;;;;17;;;;;;;;;;;;
Kerkrade;G0928;10313;Maastricht;K19;35437;14575;52;69;14454;774;2781;827;3601;2947;1146;645;;464;809;;;;;;;;;253;186;;;;;;;;;;;;;;;;;;;;;;;;;21;;;;;;;;
Koggenland;G1598;10354;Den Helder;K11;17099;8719;25;26;8668;2113;1894;844;946;613;632;305;;275;331;;99;;255;;;239;64;;;;;;;;;;;;48;;10;;;;;;;;;;;;;;;;;;;;;
Kollumerland en Nieuwkruisland;G0079;10984;Leeuwarden;K2;9954;5217;20;10;5187;496;1442;156;563;414;463;85;657;106;108;;;659;;;;;;;;;;;;;;;;17;;;;;;;;;;;;;;;;;18;;;;;;3;
Korendijk;G0588;10914;Dordrecht;K14;8331;4757;10;11;4736;657;538;286;638;328;308;97;173;150;140;1214;;;;;;;;;;;;31;;;134;;;4;;;;;;15;;;;;;23;;;;;;;;;;;;
Krimpen aan den IJssel;G0542;10859;Leiden;K15;22332;12433;24;27;12382;1757;1316;1081;1666;891;1048;283;928;388;374;2425;;;;;;;;;;;;136;;;46;;;33;;;;;;;;;;;;10;;;;;;;;;;;;
Krimpenerwaard;G1931;10050;Leiden;K15;41824;23371;62;52;23257;4339;2983;1983;2702;1703;2276;528;1926;795;726;3008;;;;;;;;;;;;99;;;146;;;28;;;;;;;;;;;;15;;;;;;;;;;;;
Laarbeek;G1659;10173;'s-Hertogenbosch;K18;17086;7890;19;24;7847;1069;1356;1018;900;1471;688;675;;209;262;;78;;;;87;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;10;11;;;;
Landerd;G1685;10276;'s-Hertogenbosch;K18;11794;5751;19;23;5709;1039;1467;464;682;1112;353;130;;133;199;;42;;;;70;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;4;3;;;;
Landgraaf;G0882;11335;Maastricht;K19;30072;12995;28;38;12929;1022;2218;912;3191;2719;1139;427;;448;502;;;;;;;;;149;171;;;;;;;;;;;;;;;;;;;;;;;;;31;;;;;;;;
Landsmeer;G0415;11225;Den Helder;K11;8417;4785;17;7;4761;1085;368;602;672;538;578;276;;253;141;;68;;79;;;43;32;;;;;;;;;;;;21;;5;;;;;;;;;;;;;;;;;;;;;
Langedijk;G0416;10955;Den Helder;K11;20834;10362;20;30;10312;2085;1768;1222;1173;911;929;460;;380;398;;447;;213;;;148;101;;;;;;;;;;;;66;;11;;;;;;;;;;;;;;;;;;;;;
Lansingerland;G1621;10139;Leiden;K15;41725;21130;44;67;21019;5384;3350;2710;2576;1161;1485;672;1604;734;620;333;;;;;;;;;;;;224;;;94;;;40;;;;;;;;;;;;32;;;;;;;;;;;;
Laren;G0417;10649;Haarlem;K10;8518;5039;23;10;5006;1944;653;792;418;280;267;127;;163;104;;47;;39;;;142;14;;;;;;;;;;;;15;;1;;;;;;;;;;;;;;;;;;;;;
Leek;G0022;10604;Groningen;K1;14990;8179;22;22;8135;959;1265;712;708;1058;1002;362;1099;203;240;;;;;235;;;;;;;;;;;;;;;;130;;;;;22;48;;;48;;17;;15;;;;;;;6;;6
Leerdam;G0545;10685;Dordrecht;K14;15457;7304;15;19;7270;1033;1080;690;1016;545;519;139;629;181;205;1049;;;;;;;;;;;;116;;;28;;;9;;;;;;29;;;;;;2;;;;;;;;;;;;
Leeuwarden;G0080;11228;Leeuwarden;K2;84434;41834;134;138;41562;4282;4956;4212;3744;5600;8761;2249;2187;1503;1215;;;2411;;;;;;;;;;;;;;;;95;;;;;;;;;;;;;;;;;140;;;;;;207;
Leeuwarderadeel;G0081;10851;Leeuwarden;K2;8076;4679;9;6;4664;470;929;295;314;479;916;117;295;115;85;;;624;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;16;;;;;;2;
Leiden;G0546;10702;Leiden;K15;91064;47959;161;224;47574;6315;3222;10385;4382;5008;6992;5800;1208;2689;935;274;;;;;;;;;;;;108;;;114;;;105;;;;;;;;;;;;37;;;;;;;;;;;;
Leiderdorp;G0547;10058;Leiden;K15;20502;10991;52;50;10889;2179;1360;1997;1185;893;1263;689;261;388;388;175;;;;;;;;;;;;39;;;48;;;15;;;;;;;;;;;;9;;;;;;;;;;;;
Leidschendam-Voorburg;G1916;11103;Leiden;K15;55901;29471;119;81;29271;6654;3819;4876;3558;2346;2960;1397;709;1374;1079;187;;;;;;;;;;;;63;;;146;;;48;;;;;;;;;;;;55;;;;;;;;;;;;
Lelystad;G0995;11110;Lelystad;K5;56169;25374;76;80;25218;3998;2529;2473;4068;3196;2638;1285;1380;1205;1788;292;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;;;;;;;;276;;;;;;
Leudal;G1640;10840;Venlo;K191;28504;13582;29;73;13480;2100;3641;1844;1934;1437;585;352;;279;450;;;;;;;;;448;354;;;;;;;;;;;;;;;;;;;;;;;;;56;;;;;;;;
Leusden;G0327;10978;Utrecht;K8;22489;13441;29;32;13380;2829;2089;2145;931;1092;1210;661;1012;488;456;327;;;;;;;;;;;;;;;;;;9;;;;102;;24;;;;;;5;;;;;;;;;;;;
Lingewaal;G0733;11376;Nijmegen;K6;8533;4402;8;6;4388;714;783;335;560;281;396;97;580;130;117;309;;;;;;;;;;;;;10;48;;;;3;;;;;;;2;;;9;;4;;10;;;;;;;;;;
Lingewaard;G1705;10744;Arnhem;K7;35405;15801;38;68;15695;3064;2504;2348;1705;2225;1366;728;172;428;546;48;;;;;;;;;;;;;286;111;;;;15;;;;;;;52;;;42;;13;;25;;;;;;;17;;;
Lisse;G0553;10197;Leiden;K15;17293;9160;25;19;9116;1886;1552;1179;988;590;613;206;300;263;500;666;;;;;;;;;;;;15;;;339;;;9;;;;;;;;;;;;10;;;;;;;;;;;;
Littenseradiel;G0140;10422;Leeuwarden;K2;8290;5053;5;7;5041;594;1306;273;223;357;798;179;163;109;74;;;940;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;14;;;;;;3;
Lochem;G0262;11263;Arnhem;K7;26481;14780;29;44;14707;3698;2149;2450;792;1343;1648;1052;256;516;365;41;;;;;;;;;;;;;220;56;;;;13;;;;;;;48;;;24;;9;;11;;;;;;;16;;;
Loon op Zand;G0809;11259;Tilburg;K17;18087;7926;16;28;7882;1560;1444;841;1190;1020;558;333;;278;306;;151;;;;164;;;;;;;;;;;;;20;;;;;;8;;;;;;;;;;;;;5;4;;;;
Lopik;G0331;10333;Utrecht;K8;10577;5808;14;18;5776;871;1423;329;761;301;251;83;706;152;166;648;;;;;;;;;;;;;;;;;;7;;;;43;;29;;;;;;6;;;;;;;;;;;;
Loppersum;G0024;10934;Groningen;K1;7980;4965;10;19;4936;339;802;256;284;620;515;334;629;171;52;;;;;661;;;;;;;;;;;;;;;;95;;;;;6;40;;;97;;14;;13;;;;;;;4;;4
Losser;G0168;11166;Zwolle;K4;17605;8026;17;17;7992;1025;2454;719;1114;865;551;205;69;158;255;21;;;;;;;;;;556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maasdriel;G0263;10341;Nijmegen;K6;18265;8738;17;35;8686;1721;1751;788;1569;929;503;240;170;230;355;276;;;;;;;;;;;;;18;75;;;;9;;;;;;;21;;;13;;6;;12;;;;;;;;;;
Maasgouw;G1641;10964;Venlo;K191;19410;8741;28;42;8671;1312;2411;679;1448;873;575;203;;250;300;;;;;;;;;364;218;;;;;;;;;;;;;;;;;;;;;;;;;38;;;;;;;;
Maassluis;G0556;10880;Dordrecht;K14;24638;11596;43;46;11507;1978;2031;1079;1893;1149;1180;261;523;382;590;141;;;;;;;;;;;;201;;;41;;;13;;;;;;39;;;;;;6;;;;;;;;;;;;
Maastricht;G0935;10182;Maastricht;K19;90971;38667;150;173;38344;3989;5444;5712;6284;6284;3992;2619;;1640;1432;;;;;;;;;431;434;;;;;;;;;;;;;;;;;;;;;;;;;83;;;;;;;;
